"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",8700,"Phi@Was 07:00PM ET",5.208,"Was"
"D","Brent Burns",8600,"SJ@LA 10:30PM ET",5.205,"SJ"
"G","Braden Holtby",8400,"Phi@Was 07:00PM ET",5.041,"Was"
"G","Roberto Luongo",8300,"NYI@Fla 08:00PM ET",4.844,"Fla"
"G","Jonathan Quick",8200,"SJ@LA 10:30PM ET",4.600,"LA"
"LW","Jamie Benn",8200,"Min@Dal 09:30PM ET",4.551,"Dal"
"G","Thomas Greiss",8100,"NYI@Fla 08:00PM ET",4.985,"NYI"
"G","Devan Dubnyk",8000,"Min@Dal 09:30PM ET",4.241,"Min"
"G","Steve Mason",7900,"Phi@Was 07:00PM ET",4.345,"Phi"
"RW","Tyler Seguin",7900,"Min@Dal 09:30PM ET",4.614,"Dal"
"G","Michal Neuvirth",7700,"Phi@Was 07:00PM ET",5.025,"Phi"
"G","Jaroslav Halak",7600,"NYI@Fla 08:00PM ET",4.400,"NYI"
"RW","Joe Pavelski",7600,"SJ@LA 10:30PM ET",4.162,"SJ"
"C","John Tavares",7600,"NYI@Fla 08:00PM ET",3.921,"NYI"
"G","Philipp Grubauer",7600,"Phi@Was 07:00PM ET",3.500,"Was"
"G","Martin Jones",7500,"SJ@LA 10:30PM ET",4.588,"SJ"
"G","Kari Lehtonen",7400,"Min@Dal 09:30PM ET",4.071,"Dal"
"G","Antti Niemi",7400,"Min@Dal 09:30PM ET",3.931,"Dal"
"C","Claude Giroux",7300,"Phi@Was 07:00PM ET",3.678,"Phi"
"G","Jhonas Enroth",7300,"SJ@LA 10:30PM ET",4.213,"LA"
"G","Darcy Kuemper",7300,"Min@Dal 09:30PM ET",3.264,"Min"
"G","James Reimer",7200,"SJ@LA 10:30PM ET",4.425,"SJ"
"LW","Zach Parise",7100,"Min@Dal 09:30PM ET",3.801,"Min"
"G","Jean-Francois Berube",7100,"NYI@Fla 08:00PM ET",4.200,"NYI"
"G","Al Montoya",6900,"NYI@Fla 08:00PM ET",3.952,"Fla"
"C","Aleksander Barkov",6900,"NYI@Fla 08:00PM ET",3.528,"Fla"
"C","Anze Kopitar",6700,"SJ@LA 10:30PM ET",3.693,"LA"
"RW","Wayne Simmonds",6700,"Phi@Was 07:00PM ET",3.521,"Phi"
"G","Christopher Gibson",6700,"NYI@Fla 08:00PM ET",2.100,"NYI"
"C","Evgeny Kuznetsov",6500,"Phi@Was 07:00PM ET",3.502,"Was"
"D","Shayne Gostisbehere",6500,"Phi@Was 07:00PM ET",3.352,"Phi"
"G","Ray Emery",6400,"Phi@Was 07:00PM ET",0,"Phi"
"C","Jeff Carter",6400,"SJ@LA 10:30PM ET",3.677,"LA"
