"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RW","Patrick Kane",8600,"Chi@Cls 07:00PM ET",4.990,"Chi"
"D","Brent Burns",8500,"Ari@SJ 10:30PM ET",5.201,"SJ"
"LW","Alex Ovechkin",8500,"Was@StL 08:00PM ET",5.082,"Was"
"G","Brian Elliott",8500,"Was@StL 08:00PM ET",5.015,"StL"
"G","Henrik Lundqvist",8400,"Det@NYR 12:30PM ET",4.963,"NYR"
"G","Roberto Luongo",8300,"Car@Fla 07:00PM ET",4.822,"Fla"
"G","Braden Holtby",8300,"Was@StL 08:00PM ET",5.030,"Was"
"C","Sidney Crosby",8200,"Pit@Phi 03:00PM ET",4.314,"Pit"
"G","Tuukka Rask",8200,"Ott@Bos 12:30PM ET",4.391,"Bos"
"G","Ben Bishop",8200,"TB@Mon 07:00PM ET",4.869,"TB"
"G","Marc-Andre Fleury",8100,"Pit@Phi 03:00PM ET",4.942,"Pit"
"G","Corey Crawford",8100,"Chi@Cls 07:00PM ET",5.411,"Chi"
"D","Erik Karlsson",8100,"Ott@Bos 12:30PM ET",4.747,"Ott"
"G","Devan Dubnyk",8000,"Cgy@Min 07:00PM ET",4.287,"Min"
"G","Pekka Rinne",8000,"Nsh@Dal 08:00PM ET",3.979,"Nsh"
"G","Thomas Greiss",8000,"Buf@NYI 07:30PM ET",5.125,"NYI"
"G","Jonathan Quick",8000,"Wpg@LA 10:00PM ET",4.629,"LA"
"LW","Jamie Benn",8000,"Nsh@Dal 08:00PM ET",4.570,"Dal"
"G","Semyon Varlamov",7900,"Anh@Col 05:30PM ET",4.386,"Col"
"G","Steve Mason",7900,"Pit@Phi 03:00PM ET",4.322,"Phi"
"RW","Tyler Seguin",7900,"Nsh@Dal 08:00PM ET",4.614,"Dal"
"G","Andrei Vasilevskiy",7900,"TB@Mon 07:00PM ET",4.078,"TB"
"G","Jake Allen",7800,"Was@StL 08:00PM ET",4.698,"StL"
"G","Chad Johnson",7800,"Buf@NYI 07:30PM ET",4.426,"Buf"
